"Dimension.MONTH_AND_YEAR","Dimension.CREATIVE_SIZE","Column.TOTAL_INVENTORY_LEVEL_IMPRESSIONS","1006611"
"2016-03","728 x 90","270505219","108939068"
"2016-03","970 x 250","2553136","108939068"
"2016-03","970 x 90","266772","108939068"
"2016-03","Out-of-page","2851429","108939068"
"2016-04","0 x 0","415332","108939068"
"2016-04","1 x 1","466109557","108939068"
"2016-04","160 x 600","22808861","108939068"
"2016-04","300 x 250","232407885","108939068"
"2016-04","300 x 50","2135438","108939068"
"2016-04","300 x 600","54432868","108939068"
"2016-04","320 x 50","120275190","108939068"
"2016-04","468 x 60","50002","108939068"
"2016-04","640 x 360v","1151869","108939068"
"2016-04","728 x 90","223615512","108939068"
"2016-04","970 x 250","694799","108939068"
"2016-04","970 x 90","550907","108939068"
"2016-04","Out-of-page","4354977","108939068"
"2016-05","0 x 0","242396","108939068"
"2016-05","1 x 1","628533051","108939068"
"2016-05","160 x 600","19886576","108939068"
"2016-05","300 x 250","290898029","108939068"
"2016-05","300 x 50","1935475","108939068"
"2016-05","300 x 600","53755521","108939068"
"2016-05","320 x 50","130779716","108939068"
"2016-05","468 x 60","3325","108939068"
"2016-05","640 x 360v","1462487","108939068"
"2016-05","728 x 90","247509776","108939068"
"2016-05","970 x 250","207610","108939068"
"2016-05","970 x 90","1624525","108939068"
"2016-05","Out-of-page","4606581","108939068"
"Dimension.MONTH_AND_YEAR","Dimension.CREATIVE_SIZE","Column.TOTAL_INVENTORY_LEVEL_IMPRESSIONS","121767418"
"2015-06","120 x 60","24846","121767418"
"2015-06","300 x 250","31507","121767418"
"2015-07","120 x 60","148858","121767418"
"2015-07","300 x 250","162222","121767418"
"2015-08","120 x 60","174946","121767418"
"2015-08","300 x 250","182719","121767418"
"2015-09","120 x 60","171762","121767418"
"2015-09","300 x 250","176872","121767418"
"2015-10","120 x 60","64008","121767418"
"2015-10","300 x 250","242282","121767418"
"2015-11","120 x 60","31926","121767418"
"2015-11","300 x 250","185917","121767418"
"2015-12","120 x 60","41982","121767418"
"2015-12","300 x 250","202980","121767418"
"2016-01","120 x 60","26741","121767418"
"2016-01","300 x 250","211344","121767418"
"2016-02","300 x 250","246260","121767418"
"2016-03","120 x 60","1","121767418"
"2016-03","300 x 250","268772","121767418"
"2016-04","300 x 250","287020","121767418"
"2016-05","300 x 250","295624","121767418"
"Dimension.MONTH_AND_YEAR","Dimension.CREATIVE_SIZE","Column.TOTAL_INVENTORY_LEVEL_IMPRESSIONS","17748645"
"2015-06","160 x 600","117332","17748645"
"2015-06","180 x 150","43617","17748645"
"2015-06","200 x 167","340","17748645"
"2015-06","300 x 250","4031988","17748645"
"2015-06","728 x 90","4792556","17748645"
"2015-06","970 x 90","63200","17748645"
"2015-07","160 x 600","103785","17748645"
"2015-07","180 x 150","56949","17748645"
"2015-07","200 x 167","236","17748645"
"2015-07","300 x 250","1162657","17748645"
"2015-07","728 x 90","3417781","17748645"
"2015-07","970 x 90","47875","17748645"
"2015-08","160 x 600","143948","17748645"
"2015-08","180 x 150","220730","17748645"
"2015-08","200 x 167","282","17748645"
"2015-08","300 x 250","4183584","17748645"
"2015-08","320 x 50","42","17748645"
"2015-08","468 x 60","6","17748645"
"2015-08","728 x 90","8563743","17748645"
"2015-08","970 x 90","1224","17748645"
"2015-09","160 x 600","53694","17748645"
"2015-09","180 x 150","190528","17748645"
"2015-09","200 x 167","165","17748645"
"2015-09","300 x 250","8554920","17748645"
"2015-09","320 x 50","52","17748645"
"2015-09","728 x 90","15093443","17748645"
"2015-09","970 x 90","99","17748645"
"2015-10","160 x 600","26367","17748645"
"2015-10","180 x 150","173371","17748645"
"2015-10","200 x 167","156","17748645"
"2015-10","300 x 250","3364730","17748645"
"2015-10","320 x 50","4","17748645"
"2015-10","728 x 90","7589502","17748645"
"2015-10","970 x 90","2","17748645"
"2015-11","160 x 600","20737","17748645"
"2015-11","180 x 150","131217","17748645"
"2015-11","200 x 167","126","17748645"
"2015-11","300 x 250","2300188","17748645"
"2015-11","728 x 90","6003868","17748645"
"2015-11","970 x 90","3","17748645"
"2015-12","160 x 600","19082","17748645"
"2015-12","180 x 150","126752","17748645"
"2015-12","200 x 167","100","17748645"
"2015-12","300 x 250","6219765","17748645"
"2015-12","320 x 50","3","17748645"
"2015-12","728 x 90","9338191","17748645"
"2015-12","970 x 90","1","17748645"
"2016-01","160 x 600","29510","17748645"
"2016-01","180 x 150","170140","17748645"
"2016-01","200 x 167","105","17748645"
"2016-01","300 x 250","5638584","17748645"
"2016-01","320 x 50","1","17748645"
"2016-01","728 x 90","8742864","17748645"
"2016-01","970 x 90","1","17748645"
"2016-02","160 x 600","27717","17748645"
"2016-02","180 x 150","174645","17748645"
"2016-02","200 x 167","90","17748645"
"2016-02","300 x 250","3098270","17748645"
"2016-02","728 x 90","4340185","17748645"
"2016-03","160 x 600","33624","17748645"
"2016-03","180 x 150","123294","17748645"
"2016-03","200 x 167","25","17748645"
"2016-03","300 x 250","3393842","17748645"
"2016-03","300 x 50","54","17748645"
"2016-03","728 x 90","4509628","17748645"
"2016-03","88 x 31","28","17748645"
"2016-04","160 x 600","50131","17748645"
"2016-04","180 x 150","100752","17748645"
"2016-04","200 x 167","37","17748645"
"2016-04","234 x 60","68","17748645"
"2016-04","250 x 250","405","17748645"
"2016-04","300 x 250","9235151","17748645"
"2016-04","300 x 50","28","17748645"
"2016-04","468 x 60","11","17748645"
"2016-04","728 x 90","11389164","17748645"
"2016-04","970 x 90","4","17748645"
"2016-05","160 x 600","65756","17748645"
"2016-05","180 x 150","139226","17748645"
"2016-05","200 x 167","24","17748645"
"2016-05","234 x 60","61","17748645"
"2016-05","250 x 250","261","17748645"
"2016-05","300 x 250","9440405","17748645"
"2016-05","468 x 60","4","17748645"
"2016-05","728 x 90","11389688","17748645"
"Dimension.MONTH_AND_YEAR","Dimension.CREATIVE_SIZE","Column.TOTAL_INVENTORY_LEVEL_IMPRESSIONS","19565616"
"2015-06","1 x 1","393","19565616"
"2015-06","320 x 480","141","19565616"
"2015-06","400 x 300v","39793407","19565616"
"2015-06","480 x 320","3","19565616"
"2015-07","1 x 1","1722","19565616"
"2015-07","400 x 300v","33162210","19565616"
"2015-08","1 x 1","2507","19565616"
"2015-08","400 x 300v","32832636","19565616"
"2015-08","640 x 480v","2253558","19565616"
"2015-08","Native","68","19565616"
"2015-09","1 x 1","986","19565616"
"2015-09","400 x 300v","25073909","19565616"
